DiaChi,TinhTrangBDS,DienTich,Gia/m2,Phongngu,TenPhanKhu,SoTang,PhongTam,Loai,GiayTo,MaCanHo,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,DacDiem,Gia
"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh", Đã bàn giao, 106 m²," 22,17 triệu/m²", 3 phòng, B4,20, 2 phòng, Chung cư, Đã có sổ,1, Nội thất cao cấp, Đông, Nam, Căn góc,"2,35 tỷ- 106 m2đ"
"Đường Bình Chiểu, Phường Bình Chiểu, Quận Thủ Đức, Tp Hồ Chí Minh", Đã bàn giao, 64 m²," 28,13 triệu/m²", 2 phòng,,8, 2 phòng, Chung cư, Đang chờ sổ,, Nội thất cao cấp,,,,"1,8 tỷ- 64 m2đ"
"Đường An Dương Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh", Đã bàn giao, 71 m²," 21,83 triệu/m²", 2 phòng,,, 1 phòng, Chung cư, Đã có sổ,, Nội thất đầy đủ,,,,"1,55 tỷ- 71 m2đ"
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh", Đã bàn giao, 59 m²," 36,44 triệu/m²", 2 phòng,,, 1 phòng, Chung cư,,,,,,,"2,15 tỷ- 59 m2đ"
"Đường Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2, Tp Hồ Chí Minh", Đã bàn giao, 70 m², 50 triệu/m², 2 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản,,,,"3,5 tỷ- 70 m2đ"
"Đường Tạ Quang Bửu, Phường 5, Quận 8, Tp Hồ Chí Minh", Đã bàn giao, 115 m²," 30,43 triệu/m²", 2 phòng, A,, 2 phòng, Chung cư, Đã có sổ,, Nội thất đầy đủ,,,,"3,5 tỷ- 115 m2đ"
"đường Tạ Quang Bửu, Phường 5, Quận 8, Tp Hồ Chí Minh", Đã bàn giao, 97 m²," 46,39 triệu/m²", 3 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,,,,, Căn góc,"4,5 tỷ- 97 m2đ"
"đường Tạ Quang Bửu, Phường 5, Quận 8, Tp Hồ Chí Minh", Đã bàn giao, 32 m²," 46,88 triệu/m²", 1 phòng,,, 1 phòng, Officetel,,,,,,,"1,5 tỷ- 32 m2đ"
"Đường Bùi Tư Toàn, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh", Chưa bàn giao, 40 m²," 24,75 triệu/m²", 1 phòng,,, 1 phòng," Căn hộ dịch vụ, mini",,,,,,,990 triệu- 40 m2đ
"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh", Đã bàn giao, 129 m²," 19,77 triệu/m²", 3 phòng,,, 2 phòng, Chung cư,,,, Đông Bắc, Tây Nam,,"2,55 tỷ- 129 m2đ"
"Đường Võ Văn Kiệt, Phường 16, Quận 8, Tp Hồ Chí Minh", Đã bàn giao, 79 m²," 31,65 triệu/m²", 2 phòng, B2,, 2 phòng, Chung cư, Đang chờ sổ,, Nội thất cao cấp, Đông, Tây, Căn góc,"2,5 tỷ- 79 m2đ"
"961, 961 Đường Hậu Giang, Phường 11, Quận 6, Tp Hồ Chí Minh", Đã bàn giao, 77 m²," 36,36 triệu/m²", 2 phòng, A,, 1 phòng, Chung cư, Đã có sổ,,,,,,"2,8 tỷ- 77 m2đ"
"Đường Quốc lộ 1A, Phường Tân Tạo A, Quận Bình Tân, Tp Hồ Chí Minh", Đã bàn giao, 60 m²," 8,33 triệu/m²", 2 phòng, B,5, 1 phòng, Chung cư, Đã có sổ,11, Nội thất đầy đủ, Tây, Nam,,500 triệu- 60 m2đ
"Đường Lương Định Của, Phường An Phú, Quận 2, Tp Hồ Chí Minh", Đã bàn giao, 93 m², 96.774 đ/m², 2 phòng,,15, 2 phòng, Chung cư, Đã có sổ,14.06, Hoàn thiện cơ bản, Đông, Tây Nam,,9 triệu- 93 m2đ
"G4..., Đường C4, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh", Đã bàn giao, 72 m²," 27,08 triệu/m²", 2 phòng, G,4, 2 phòng, Chung cư, Đã có sổ, G40.,, Đông, Đông,,"1,95 tỷ- 72 m2đ"
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh", Chưa bàn giao, 150 m², 30 triệu/m², 3 phòng,,, 3 phòng, Officetel, Đã có sổ,, Nội thất cao cấp, Đông, Đông,,"4,5 tỷ- 150 m2đ"
"Đường Số 4, Phường Bình Chiểu, Quận Thủ Đức, Tp Hồ Chí Minh", Đã bàn giao, 45 m²," 17,96 triệu/m²", 2 phòng, C,, 1 phòng, Chung cư, Đã có sổ,, Hoàn thiện cơ bản,,, Căn góc,808 triệu- 45 m2đ
"18, Đường Phan Văn Trị, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh", Đã bàn giao, 97.4 m²," 46,91 triệu/m²", 3 phòng,2,, 2 phòng, Chung cư, Đã có sổ, CH1, Nội thất đầy đủ, Nam,,,"4,55 tỷ- 97.4 m2đ"
"Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh", Đã bàn giao, 99 m², 39.393 đ/m², 2 phòng, w3,16, 2 phòng, Chung cư, Đã có sổ,, Nội thất cao cấp, Tây, Đông,,"3,9 triệu- 99 m2đ"
"Đường Tô Ký, Phường Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh", Đã bàn giao, 61 m²," 30,33 triệu/m²", 2 phòng,,4, 2 phòng, Chung cư, Đã có sổ,,,,,,"1,85 tỷ- 61 m2đ"
"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh", Đã bàn giao, 61 m²," 17,87 triệu/m²", 2 phòng, B,, 2 phòng, Chung cư, Đang chờ sổ,, Nội thất đầy đủ, Tây Nam, Đông Bắc,,"1,09 tỷ- 61 m2đ"
"Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh", Đã bàn giao, 64 m²," 26,88 triệu/m²", 2 phòng, A7A8,, 2 phòng, Chung cư, Đã có sổ,, Hoàn thiện cơ bản, Nam, Bắc, Căn góc,"1,72 tỷ- 64 m2đ"
"90A, 90A Đường Lý Thường Kiệt, Phường 14, Quận 10, Tp Hồ Chí Minh", Đã bàn giao, 89 m²," 64,04 triệu/m²", 3 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,,, Đông Nam,, Căn góc,"5,7 tỷ- 89 m2đ"
"Đường Nguyễn Văn Linh, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh", Đã bàn giao, 97.6 m²," 50,52 triệu/m²", 3 phòng, D,6, 2 phòng, Chung cư, Đã có sổ, D6.1, Nội thất cao cấp,,,,"4,9 tỷ- 97.6 m2đ"
"Đường Nguyễn Văn Linh, Phường 6, Quận 8, Tp Hồ Chí Minh", Đã bàn giao, 65 m²," 27,69 triệu/m²", 2 phòng,,, 1 phòng, Chung cư,,,,, Đông,,"1,8 tỷ- 65 m2đ"
"Đường Thạnh Lộc 50, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh", Chưa bàn giao, 52 m²," 21,15 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,,, Tây Bắc, Đông Nam,,"1,1 tỷ- 52 m2đ"
"Khu phố 3, Khu phố 3 Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Tp Hồ Chí Minh", Đã bàn giao, 102 m²," 71,57 triệu/m²", 2 phòng, T4,, 2 phòng, Chung cư,,, Nội thất cao cấp, Đông Bắc, Đông Nam,,"7,3 tỷ- 102 m2đ"
"Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh", Chưa bàn giao, 62 m²," 34,68 triệu/m²", 2 phòng,,, 1 phòng, Chung cư,,, Hoàn thiện cơ bản,,, Căn góc,"2,15 tỷ- 62 m2đ"
"Số 8, Số 8 Đường Gò Dưa, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh", Đã bàn giao, 60 m², 25 triệu/m², 2 phòng,,, 2 phòng, Chung cư, Đã có sổ,,,,,,"1,5 tỷ- 60 m2đ"
"Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh", Đã bàn giao, 162 m², 228.395 đ/m², 4 phòng, v3,28, 3 phòng, Chung cư, Đã có sổ,, Nội thất đầy đủ, Tây, Đông,,37 triệu- 162 m2đ
"Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh", Đã bàn giao, 67 m²," 27,61 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,,,,,,"1,85 tỷ- 67 m2đ"
"Đường quốc lộ 1K, Phường Linh Xuân, Quận Thủ Đức, Tp Hồ Chí Minh", Chưa bàn giao, 60 m²," 9,98 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đã có sổ,, Nội thất cao cấp,,,,599 triệu- 60 m2đ
"tầng 11, Vườn Lài Nối Dài, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh", Đã bàn giao, 45 m²," 23,33 triệu/m²", 2 phòng,,, 1 phòng, Chung cư, Đang chờ sổ,,, Tây Nam,,,"1,05 tỷ- 45 m2đ"
"996, 996 Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh", Chưa bàn giao, 23 m²," 41,3 triệu/m²", 1 phòng,,, 1 phòng, Officetel,,,,,,,950 triệu- 23 m2đ
"Đường Mai Chí Thọ, Phường An Phú, Quận 2, Tp Hồ Chí Minh", Đã bàn giao, 37 m²," 45,41 triệu/m²", 1 phòng,,, 1 phòng, Officetel,,,,,,,"1,68 tỷ- 37 m2đ"
"Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh", Đã bàn giao, 56 m²," 47,86 triệu/m²", 1 phòng, X2,, 1 phòng, Chung cư, Đã có sổ,, Nội thất đầy đủ, Đông,,,"2,68 tỷ- 56 m2đ"
"Đường Mai Chí Thọ, Phường Bình Khánh, Quận 2, Tp Hồ Chí Minh", Đã bàn giao, 85 m²," 67,06 triệu/m²", 3 phòng, hawai,19, 2 phòng, Chung cư, Đang chờ sổ,, Nội thất cao cấp, Tây Bắc, Đông Nam,,"5,7 tỷ- 85 m2đ"
"lê văn quới, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh", Chưa bàn giao, 36 m²," 22,19 triệu/m²", 1 phòng,,, 1 phòng, Chung cư, Đã có sổ,, Nội thất cao cấp,,, Căn góc,799 triệu- 36 m2đ
"Đường Nguyễn Văn Linh, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh", Đã bàn giao, 72 m²," 37,92 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,,,, Tây Bắc, Đông Nam,,"2,73 tỷ- 72 m2đ"
"Đường Đồng Văn Cống, Phường Cát Lái, Quận 2, Tp Hồ Chí Minh", Đã bàn giao, 73 m²," 25,34 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,,,,,, Căn góc,"1,85 tỷ- 73 m2đ"
"239 – 241 – 278, 239 – 241 – 278 Đường Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh", Đã bàn giao, 53 m²," 47,17 triệu/m²", 2 phòng,,, 1 phòng, Chung cư,,,,,,,"2,5 tỷ- 53 m2đ"
"Đường Lý Chiêu Hoàng, Phường 10, Quận 6, Tp Hồ Chí Minh", Chưa bàn giao, 53 m²," 33,4 triệu/m²", 2 phòng,,, 1 phòng, Chung cư, Đang chờ sổ,,,,,,"1,77 tỷ- 53 m2đ"
"53, 53 Đường Nguyễn Sơn, Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh", Đã bàn giao, 87 m²," 25,86 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,,, Nam,,,"2,25 tỷ- 87 m2đ"
"Đường Tạ Quang Bửu, Phường 5, Quận 8, Tp Hồ Chí Minh", Đã bàn giao, 115 m²," 29,57 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,,,,,,,"3,4 tỷ- 115 m2đ"
"Số 12, Số 12 Đường Tôn Đản, Phường 13, Quận 4, Tp Hồ Chí Minh", Đã bàn giao, 85 m²," 33,53 triệu/m²", 2 phòng,,,, Chung cư,,, Nội thất đầy đủ,,,,"2,85 tỷ- 85 m2đ"
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh", Đã bàn giao, 63 m²," 25,4 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản,,,,"1,6 tỷ- 63 m2đ"
"Đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh", Đã bàn giao, 53 m²," 28,3 triệu/m²", 2 phòng,,, 1 phòng, Chung cư, Đã có sổ,,,,,,"1,5 tỷ- 53 m2đ"
"Đường Phan Văn Trị, Phường 2, Quận 5, Tp Hồ Chí Minh", Đã bàn giao, 160 m²," 77,5 triệu/m²", 2 phòng, B,, 2 phòng, Chung cư, Đã có sổ,4, Nội thất đầy đủ, Tây Bắc,,,"12,4 tỷ- 160 m2đ"
"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh", Đã bàn giao, 61 m²," 17,87 triệu/m²", 2 phòng, B,, 2 phòng, Chung cư, Đang chờ sổ,, Nội thất đầy đủ, Tây Nam, Đông Bắc,,"1,09 tỷ- 61 m2đ"
"Đường Lê Đức Thọ, Phường 17, Quận Gò Vấp, Tp Hồ Chí Minh", Đã bàn giao, 62 m²," 40,32 triệu/m²", 2 phòng,,7, 2 phòng, Chung cư, Đã có sổ,707, Nội thất cao cấp, Tây Bắc, Đông Nam,,"2,5 tỷ- 62 m2đ"
"Đường Tạ Quang Bửu, Phường 5, Quận 8, Tp Hồ Chí Minh", Đã bàn giao, 107 m²," 32,71 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đã có sổ,, Hoàn thiện cơ bản,,,,"3,5 tỷ- 107 m2đ"
"Khu phố 3, Khu phố 3 Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Tp Hồ Chí Minh", Đã bàn giao, 104 m²," 76,92 triệu/m²", 2 phòng, T2,, 2 phòng, Chung cư, Đã có sổ,, Nội thất cao cấp, Tây Nam, Đông,,8 tỷ- 104 m2đ
"208, Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh", Đã bàn giao, 50 m², 62 triệu/m², 1 phòng,,, 1 phòng, Chung cư,,,,,,,"3,1 tỷ- 50 m2đ"
"334, 334 Đường Tô Hiến Thành, Phường 14, Quận 10, Tp Hồ Chí Minh", Đã bàn giao, 73 m²," 69,86 triệu/m²", 2 phòng,,25, 2 phòng, Chung cư, Đang chờ sổ,,,,,,"5,1 tỷ- 73 m2đ"
"996, 996 Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh", Chưa bàn giao, 84 m²," 33,21 triệu/m²", 2 phòng, PA 2,21, 2 phòng, Duplex, Đang chờ sổ,6, Hoàn thiện cơ bản, Tây Nam, Đông Bắc, Căn góc,"2,79 tỷ- 84 m2đ"
"Lô A1, Lô A1 Khu đô thị Him Lam, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh", Đã bàn giao, 103 m²," 42,72 triệu/m²", 3 phòng,,, 2 phòng, Chung cư, Đã có sổ,,,,,,"4,4 tỷ- 103 m2đ"
"đường số 10, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh", Đã bàn giao, 71.5 m²," 40,99 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,,,,,,,"2,91 tỷ- 71.5 m2đ"
"Đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh", Chưa bàn giao, 50 m²," 3,4 triệu/m²", 2 phòng,,, 1 phòng, Chung cư, Đang chờ sổ,, Nội thất cao cấp,,,,170 triệu- 50 m2đ
"Đường Phan Văn Hớn, Xã Xuân Thới Thượng, Huyện Hóc Môn, Tp Hồ Chí Minh", Đã bàn giao, 40 m²," 9,25 triệu/m²", 1 phòng,,, 1 phòng, Chung cư, Đã có sổ,, Nội thất đầy đủ,,,,370 triệu- 40 m2đ
"đường Tạ Quang Bửu, Phường 5, Quận 8, Tp Hồ Chí Minh", Đã bàn giao, 37 m²," 45,95 triệu/m²", 1 phòng, B,16, 1 phòng, Chung cư, Đã có sổ, B16.21,, Đông Bắc, Tây Bắc,,"1,7 tỷ- 37 m2đ"
"658 Âu Cơ, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh", Đã bàn giao, 75 m²," 37,33 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,,,,,,"2,8 tỷ- 75 m2đ"
"192, 192 Đường An Dương Vương, Phường 16, Quận 8, Tp Hồ Chí Minh", Đã bàn giao, 51 m²," 29,41 triệu/m²", 1 phòng, B,, 1 phòng, Chung cư, Đã có sổ,,,,,,"1,5 tỷ- 51 m2đ"
"31, Đường Trương Phước Phan, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh", Đã bàn giao, 62 m²," 33,06 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,,,,,,,"2,05 tỷ- 62 m2đ"
"thanh xuân 13, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh", Đã bàn giao, 57 m²," 33,33 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đã có sổ,,,,,,"1,9 tỷ- 57 m2đ"
"9A Đường Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh", Chưa bàn giao, 65 m²," 27,69 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đã có sổ,,,,,,"1,8 tỷ- 65 m2đ"
"688/57/42, Đường Lê Đức Thọ, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh", Đã bàn giao, 53 m²," 41,51 triệu/m²", 2 phòng,,, 1 phòng, Chung cư,,,,, Đông Nam,,"2,2 tỷ- 53 m2đ"
"Đường Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh", Đã bàn giao, 90 m², 50 triệu/m², 3 phòng, A,9, 3 phòng, Chung cư, Đang chờ sổ,, Nội thất cao cấp, Đông Nam, Đông Bắc,,"4,5 tỷ- 90 m2đ"
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh", Đã bàn giao, 30 m², 41 triệu/m², 1 phòng,,8, 1 phòng, Chung cư, Đang chờ sổ,8, Hoàn thiện cơ bản,,,,"1,23 tỷ- 30 m2đ"
"996, 996 Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh", Chưa bàn giao, 52 m², 35 triệu/m², 1 phòng,,, 1 phòng, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản,,, Căn góc,"1,82 tỷ- 52 m2đ"
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh", Chưa bàn giao, 74 m²," 16,89 triệu/m²", 2 phòng, Riveria,, 2 phòng, Chung cư, Đang chờ sổ,, Nội thất cao cấp, Tây Bắc, Đông Nam,,"1,25 tỷ- 74 m2đ"
"Đường Phạm Văn Nghị, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh", Đã bàn giao, 70.12 m²," 40,71 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đã có sổ,, Nội thất cao cấp, Nam, Bắc,,"2,85 tỷ- 70.12 m2đ"
"Khu nhà ở Bình Chiểu, Phường Bình Chiểu, Quận Thủ Đức, Tp Hồ Chí Minh", Chưa bàn giao, 61 m²," 21,15 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,,, Tây Bắc, Đông Nam,,"1,29 tỷ- 61 m2đ"
"Đường Phú Mỹ Hưng, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh", Đã bàn giao, 194 m²," 36,08 triệu/m²", 3 phòng,,, 3 phòng, Penthouse, Đã có sổ,, Nội thất cao cấp, Nam, Tây Bắc, Căn góc,7 tỷ- 194 m2đ
"90A, 90A Đường Lý Thường Kiệt, Phường 14, Quận 10, Tp Hồ Chí Minh", Đã bàn giao, 89 m²," 64,04 triệu/m²", 3 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,,, Đông Nam,, Căn góc,"5,7 tỷ- 89 m2đ"
"Đường Phan Văn Trị, Phường 2, Quận 5, Tp Hồ Chí Minh", Đã bàn giao, 160 m²," 77,5 triệu/m²", 2 phòng, B,, 2 phòng, Chung cư, Đã có sổ,4, Nội thất đầy đủ, Tây Bắc,,,"12,4 tỷ- 160 m2đ"
"Đường số 19, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh", Đã bàn giao, 73 m², 328.767 đ/m², 2 phòng, a,5, 2 phòng, Chung cư, Đã có sổ,,,, Đông Nam, Căn góc,24 triệu- 73 m2đ
"Đường Nguyễn Thị Định, Phường An Phú, Quận 2, Tp Hồ Chí Minh", Đã bàn giao, 77 m², 636.363 đ/m², 2 phòng,1,333, 2 phòng, Chung cư, Giấy tờ khác, A 18.07, Nội thất cao cấp,,, Căn góc,49 triệu- 77 m2đ
"Đường N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh", Chưa bàn giao, 95 m², 515.789 đ/m², 2 phòng,,, 2 phòng, Chung cư,,,, Tây Nam, Đông Bắc,,49 triệu- 95 m2đ
"290, 290 Đường An Dương Vương, Phường 4, Quận 5, Tp Hồ Chí Minh", Đã bàn giao, 40 m²," 58,75 triệu/m²", 1 phòng,,, 1 phòng, Chung cư,,,,,,,"2,35 tỷ- 40 m2đ"
"Đường Phạm Văn Đồng, Phường Linh Trung, Quận Thủ Đức, Tp Hồ Chí Minh", Chưa bàn giao, 60 m²," 26,67 triệu/m²", 2 phòng,,,, Chung cư,,,,,,,"1,6 tỷ- 60 m2đ"
"Đường Tân Kỳ Tân Quý, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh", Đã bàn giao, 55 m²," 16,36 triệu/m²", 2 phòng,,, 1 phòng," Căn hộ dịch vụ, mini", Đã có sổ,, Nội thất cao cấp,,, Căn góc,900 triệu- 55 m2đ
"196, 196 Đường Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh", Đã bàn giao, 85 m²," 29,29 triệu/m²", 3 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,,,,,,"2,49 tỷ- 85 m2đ"
"Quốc Lộ 13, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh", Chưa bàn giao, 50 m², 33 triệu/m², 2 phòng, Vega,, 1 phòng, Chung cư, Đã có sổ,, Nội thất cao cấp,,,,"1,65 tỷ- 50 m2đ"
"Số 4, Số 4 Đường Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh", Chưa bàn giao, 54 m²," 15,74 triệu/m²", 2 phòng,,,, Chung cư,,,,,,,850 triệu- 54 m2đ
"Đường Võ Văn Kiệt, Phường 16, Quận 8, Tp Hồ Chí Minh", Đã bàn giao, 73 m²," 30,14 triệu/m²", 2 phòng, D,, 2 phòng, Chung cư, Đã có sổ,, Nội thất đầy đủ,,,,"2,2 tỷ- 73 m2đ"
"Đường Song Hành, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh", Đã bàn giao, 70 m²," 35,57 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,,,,,,,"2,49 tỷ- 70 m2đ"
"Đường Quốc lộ 1A, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh", Đã bàn giao, 48 m²," 24,17 triệu/m²", 1 phòng,,, 1 phòng, Chung cư, Đã có sổ,,,,,,"1,16 tỷ- 48 m2đ"
"127, 127 đường Tăng Nhơn Phú, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh", Đã bàn giao, 73 m²," 31,51 triệu/m²", 2 phòng,,3, 2 phòng, Chung cư, Đã có sổ,316, Nội thất cao cấp, Tây Bắc, Đông Nam,,"2,3 tỷ- 73 m2đ"
"Số 12, Số 12 Đường Tôn Đản, Phường 13, Quận 4, Tp Hồ Chí Minh", Đã bàn giao, 85 m²," 32,94 triệu/m²", 2 phòng,,,, Chung cư,,,,,,,"2,8 tỷ- 85 m2đ"
"Đường C8, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh", Đã bàn giao, 80 m²," 43,75 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đã có sổ,, Nội thất đầy đủ, Đông Nam,,,"3,5 tỷ- 80 m2đ"
"Đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh", Chưa bàn giao, 46 m²," 18,48 triệu/m²", 2 phòng,,, 1 phòng," Căn hộ dịch vụ, mini", Giấy tờ khác,, Nội thất cao cấp,,,,850 triệu- 46 m2đ
"Đường Bùi Tư Toàn, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh", Chưa bàn giao, 42 m²," 22,86 triệu/m²", 1 phòng,,, 1 phòng, Chung cư, Đang chờ sổ,, Nội thất đầy đủ,,,,960 triệu- 42 m2đ
"Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Tp Hồ Chí Minh", Đã bàn giao, 70 m²," 61,14 triệu/m²", 2 phòng, t2,, 2 phòng, Chung cư, Đang chờ sổ,, Nội thất đầy đủ,, Tây Nam,,"4,28 tỷ- 70 m2đ"
"Đường Phan Văn Hớn, Thị trấn Hóc Môn, Huyện Hóc Môn, Tp Hồ Chí Minh", Đã bàn giao, 36 m²," 8,06 triệu/m²", 1 phòng,,, 1 phòng, Chung cư, Đã có sổ,, Nội thất đầy đủ,,,,290 triệu- 36 m2đ
"Đường Quốc lộ 1A, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh", Chưa bàn giao, 60 m²," 6,67 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,,,,,,,400 triệu- 60 m2đ
"189B, Đường Cống Quỳnh, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh", Đã bàn giao, 56 m²," 48,04 triệu/m²", 2 phòng, b3,5, 1 phòng, Chung cư, Đã có sổ,, Nội thất đầy đủ, Nam, Tây,,"2,69 tỷ- 56 m2đ"
"Đường Mai Chí Thọ, Phường An Phú, Quận 2, Tp Hồ Chí Minh", Đã bàn giao, 73 m², 50 triệu/m², 2 phòng,,, 2 phòng, Chung cư,,,,,,,"3,65 tỷ- 73 m2đ"
"Đường Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh", Đã bàn giao, 95 m²," 55,79 triệu/m²", 3 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,, Nội thất cao cấp,,, Căn góc,"5,3 tỷ- 95 m2đ"
"Đường Nguyễn Văn Linh, Phường 6, Quận 8, Tp Hồ Chí Minh", Đã bàn giao, 65 m²," 27,69 triệu/m²", 2 phòng,,, 1 phòng, Chung cư,,,,, Đông,,"1,8 tỷ- 65 m2đ"
"Đường Phú Mỹ Hưng, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh", Đã bàn giao, 194 m²," 36,08 triệu/m²", 3 phòng,,, 3 phòng, Penthouse, Đã có sổ,, Nội thất cao cấp, Nam, Tây Bắc, Căn góc,7 tỷ- 194 m2đ
